Ticker,Groups,Current Price,Setup Type,Key Support,Key Resistance,Analyst Support,Buy Limit Order,Trailing Stop,Take Profit,Reward/Risk,Setup Status,Setup Score,Setup Score Breakdown,Evidence Score,Evidence Score Breakdown
XEL,AI Nuclear / Power / Utilities,$80.19,Pullback at recent support,$80.16,$83.22,N/A,Place buy limit at $80.19,Use $3.61 trailing stop / 4.5%; initial invalidation below $78.81,Take profit at $83.22,2.20,Ready / near buy zone,83,SS=83; EP=25; SQ=20; RR=13; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
DUK,"AI Power, Grid & Electrification — Utilities / steadier exposure; AI Nuclear / Power / Utilities",$127.95,Pullback at recent support,$127.60,$133.34,N/A,Place buy limit at $127.95,Use $5.76 trailing stop / 4.5%; initial invalidation below $125.49,Take profit at $133.34,2.19,Ready / near buy zone,83,SS=83; EP=25; SQ=20; RR=13; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
SO,"AI Power, Grid & Electrification — Utilities / steadier exposure; AI Nuclear / Power / Utilities",$95.80,Pullback at recent support,$95.74,$99.26,N/A,Place buy limit at $95.80,Use $4.31 trailing stop / 4.5%; initial invalidation below $94.18,Take profit at $99.26,2.14,Ready / near buy zone,83,SS=83; EP=25; SQ=20; RR=13; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
LEU,AI Nuclear / Power / Utilities,$174.28,Pullback at 50-SMA,$172.89,$464.25,N/A,Place buy limit at $174.28,Use $20.91 trailing stop / 12.0%; initial invalidation below $163.44,Take profit at $464.25,26.75,Ready / near buy zone,82,SS=82; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
SMCI,AI Systems & Servers,$30.56,Pullback at 150-SMA,$30.50,$62.36,N/A,Place buy limit at $30.56,Use $3.67 trailing stop / 12.0%; initial invalidation below $28.96,Take profit at $62.36,19.91,Ready / near buy zone,82,SS=82; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
VST,AI Nuclear / Power / Utilities,$166.74,Pullback at recent support,$166.01,$218.91,N/A,Place buy limit at $166.74,Use $13.69 trailing stop / 8.2%; initial invalidation below $160.53,Take profit at $218.91,8.41,Ready / near buy zone,82,SS=82; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
HPE,AI Systems & Servers,$48.13,Pullback at recent support,$47.65,$64.06,N/A,Place buy limit at $48.13,Use $5.69 trailing stop / 11.8%; initial invalidation below $45.37,Take profit at $64.06,5.78,Ready / near buy zone,82,SS=82; EP=25; SQ=15; RR=20; TS=15; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
MOD,AI Cooling / Thermal Management,$249.64,Pullback at recent support,$244.29,$323.25,N/A,Place buy limit at $246.96,Use $29.96 trailing stop / 12.0%; initial invalidation below $231.70,Take profit at $323.25,5.00,Ready / near buy zone,82,SS=82; EP=22; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
RIOT,AI Miners / HPC Hosting,$23.38,Pullback at 20-EMA,$22.74,$30.32,N/A,Place buy limit at $23.06,Use $2.81 trailing stop / 12.0%; initial invalidation below $21.27,Take profit at $30.32,4.04,Ready / near buy zone,82,SS=82; EP=22; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
IRM,AI Data Center Operators / REITs,$124.51,Pullback at recent support,$123.98,$134.68,N/A,Place buy limit at $124.51,Use $7.83 trailing stop / 6.3%; initial invalidation below $120.85,Take profit at $134.68,2.78,Ready / near buy zone,82,SS=82; EP=25; SQ=20; RR=17; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
HIVE,AI Miners / HPC Hosting,$3.19,Pullback at recent support,$3.15,$7.84,N/A,Place buy limit at $3.17,Use $0.38 trailing stop / 12.0%; initial invalidation below $2.95,Take profit at $7.84,21.20,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
GLW,AI Networking / Interconnects,$154.06,Pullback at recent support,$153.88,$271.78,N/A,Place buy limit at $154.06,Use $18.49 trailing stop / 12.0%; initial invalidation below $142.54,Take profit at $271.78,10.21,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
PWR,"AI Power, Grid & Electrification — Core",$643.14,Pullback at recent support,$642.50,$788.63,N/A,Place buy limit at $643.14,Use $48.14 trailing stop / 7.5%; initial invalidation below $623.25,Take profit at $788.63,7.31,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
HUBB,"AI Power, Grid & Electrification — Core",$476.84,Pullback at 200-SMA,$476.57,$563.81,N/A,Place buy limit at $476.84,Use $29.66 trailing stop / 6.2%; initial invalidation below $464.71,Take profit at $563.81,7.17,Ready / near buy zone,80,SS=80; EP=25; SQ=20; RR=20; TS=5; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
GOOG,Cloud Providers / Hyperscalers,$341.91,Pullback at recent support,$341.64,$404.23,N/A,Place buy limit at $341.91,Use $21.41 trailing stop / 6.3%; initial invalidation below $333.08,Take profit at $404.23,7.06,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AAON,AI Cooling / Thermal Management,$107.17,Pullback at recent support,$105.35,$150.36,N/A,Place buy limit at $106.26,Use $12.86 trailing stop / 12.0%; initial invalidation below $99.99,Take profit at $150.36,7.03,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
EME,"AI Power, Grid & Electrification — Core",$755.15,Pullback at recent support,$749.61,$951.96,N/A,Place buy limit at $755.15,Use $56.80 trailing stop / 7.5%; initial invalidation below $726.89,Take profit at $951.96,6.96,Ready / near buy zone,80,SS=80; EP=25; SQ=20; RR=20; TS=5; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AVGO,AI Chips / Semiconductors; AI Networking / Interconnects,$396.81,Pullback at recent support,$395.70,$494.22,N/A,Place buy limit at $396.81,Use $32.94 trailing stop / 8.3%; initial invalidation below $382.52,Take profit at $494.22,6.82,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
POWL,"AI Power, Grid & Electrification — Core",$240.68,Pullback at recent support,$236.24,$327.89,N/A,Place buy limit at $238.46,Use $28.88 trailing stop / 12.0%; initial invalidation below $224.67,Take profit at $327.89,6.49,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
COHR,AI Networking / Interconnects,$312.19,Pullback at recent support,$307.10,$440.00,N/A,Place buy limit at $309.65,Use $37.46 trailing stop / 12.0%; initial invalidation below $286.81,Take profit at $440.00,5.71,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
WULF,AI Miners / HPC Hosting,$19.49,Pullback at recent support,$19.36,$29.84,N/A,Place buy limit at $19.49,Use $2.34 trailing stop / 12.0%; initial invalidation below $17.64,Take profit at $29.84,5.61,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
SEI,"AI Power, Grid & Electrification — Higher-risk speed-to-power",$63.04,Pullback at recent support,$62.65,$86.19,N/A,Place buy limit at $63.04,Use $7.56 trailing stop / 12.0%; initial invalidation below $58.59,Take profit at $86.19,5.20,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
SBGSY,AI Cooling / Thermal Management,$61.22,Pullback at recent support,$61.20,$67.16,N/A,Place buy limit at $61.22,Use $2.88 trailing stop / 4.7%; initial invalidation below $60.05,Take profit at $67.16,5.08,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
VRT,AI Cooling / Thermal Management,$301.16,Pullback at recent support,$300.60,$379.86,N/A,Place buy limit at $301.16,Use $36.14 trailing stop / 12.0%; initial invalidation below $285.64,Take profit at $379.86,5.07,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CAT,"AI Power, Grid & Electrification — Backup generation",$889.31,Pullback at recent support,$876.01,"$1,073.46",N/A,Place buy limit at $882.66,Use $80.09 trailing stop / 9.0%; initial invalidation below $843.97,"Take profit at $1,073.46",4.93,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AGX,"AI Power, Grid & Electrification — Higher-risk speed-to-power",$610.35,Pullback at recent support,$610.31,$805.75,N/A,Place buy limit at $610.35,Use $73.24 trailing stop / 12.0%; initial invalidation below $570.50,Take profit at $805.75,4.90,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
SNDK,AI Memory / Storage,"$1,599.27",Pullback at recent support,"$1,590.00","$2,354.39",N/A,"Place buy limit at $1,599.27","Use $191.91 trailing stop / 12.0%; initial invalidation below $1,430.38","Take profit at $2,354.39",4.47,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
EQIX,AI Data Center Operators / REITs,"$1,028.74",Pullback at recent support,"$1,026.09","$1,124.00",N/A,"Place buy limit at $1,028.74","Use $48.70 trailing stop / 4.7%; initial invalidation below $1,006.62","Take profit at $1,124.00",4.31,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CRDO,AI Networking / Interconnects,$228.27,Pullback at recent support,$225.66,$308.67,N/A,Place buy limit at $226.97,Use $27.39 trailing stop / 12.0%; initial invalidation below $206.62,Take profit at $308.67,4.02,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CMI,"AI Power, Grid & Electrification — Backup generation",$660.75,Pullback at recent support,$660.12,$737.76,N/A,Place buy limit at $660.75,Use $47.63 trailing stop / 7.2%; initial invalidation below $641.07,Take profit at $737.76,3.91,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
TSM,AI Chips / Semiconductors,$421.21,Pullback at recent support,$420.29,$479.00,N/A,Place buy limit at $421.21,Use $35.58 trailing stop / 8.4%; initial invalidation below $406.06,Take profit at $479.00,3.81,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
GEV,"AI Power, Grid & Electrification — Core",$985.03,Pullback at recent support,$982.00,"$1,195.94",N/A,Place buy limit at $985.03,Use $118.20 trailing stop / 12.0%; initial invalidation below $928.37,"Take profit at $1,195.94",3.72,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
HUT,AI Miners / HPC Hosting,$109.86,Pullback at recent support,$109.51,$140.80,N/A,Place buy limit at $109.86,Use $13.18 trailing stop / 12.0%; initial invalidation below $100.98,Take profit at $140.80,3.48,Ready / near buy zone,80,SS=80; EP=25; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CIFR,AI Miners / HPC Hosting,$24.46,Pullback at recent support,$24.42,$30.14,N/A,Place buy limit at $24.46,Use $2.94 trailing stop / 12.0%; initial invalidation below $22.43,Take profit at $30.14,2.80,Ready / near buy zone,79,SS=79; EP=25; SQ=15; RR=17; TS=15; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
ETN,AI Cooling / Thermal Management,$406.91,Pullback at 20-EMA,$406.64,$436.74,N/A,Place buy limit at $406.91,Use $33.05 trailing stop / 8.1%; initial invalidation below $393.42,Take profit at $436.74,2.21,Ready / near buy zone,78,SS=78; EP=25; SQ=20; RR=13; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
KEEL,AI Miners / HPC Hosting,$4.69,Pullback at recent support,$4.56,$7.37,N/A,Place buy limit at $4.63,Use $0.56 trailing stop / 12.0%; initial invalidation below $4.18,Take profit at $7.37,6.22,Ready / near buy zone,77,SS=77; EP=22; SQ=15; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
BTDR,AI Miners / HPC Hosting,$12.26,Pullback at 150-SMA,$12.34,$27.80,N/A,Place buy limit at $12.26,Use $1.47 trailing stop / 12.0%; initial invalidation below $11.25,Take profit at $27.80,15.42,Ready / near buy zone,75,SS=75; EP=25; SQ=20; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
NXE,AI Nuclear / Power / Utilities,$9.44,Pullback at recent support,$9.43,$13.96,N/A,Place buy limit at $9.44,Use $0.89 trailing stop / 9.4%; initial invalidation below $9.07,Take profit at $13.96,12.35,Ready / near buy zone,75,SS=75; EP=25; SQ=20; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
TEL,AI Networking / Interconnects,$200.28,Pullback at 20-EMA,$200.37,$251.59,N/A,Place buy limit at $200.28,Use $14.91 trailing stop / 7.4%; initial invalidation below $194.41,Take profit at $251.59,8.74,Ready / near buy zone,75,SS=75; EP=25; SQ=20; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
FN,AI Networking / Interconnects,$513.67,Pullback at recent support,$510.51,$748.89,N/A,Place buy limit at $513.67,Use $61.42 trailing stop / 12.0%; initial invalidation below $485.94,Take profit at $748.89,8.48,Ready / near buy zone,75,SS=75; EP=25; SQ=20; RR=20; TS=0; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
GNRC,"AI Power, Grid & Electrification — Core",$213.42,Pullback at recent support,$212.17,$296.44,N/A,Place buy limit at $213.42,Use $22.69 trailing stop / 10.6%; initial invalidation below $203.10,Take profit at $296.44,8.04,Ready / near buy zone,75,SS=75; EP=25; SQ=15; RR=20; TS=5; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
ABNAF,AI Nuclear / Power / Utilities,$0.12,Pullback at recent support,$0.12,$0.21,N/A,Place buy limit at $0.12,Use $0.01 trailing stop / 12.0%; initial invalidation below $0.11,Take profit at $0.21,6.96,Ready / near buy zone,75,SS=75; EP=25; SQ=15; RR=20; TS=5; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CEG,"AI Power, Grid & Electrification — Core; AI Nuclear / Power / Utilities",$274.90,Pullback at recent support,$268.25,$411.04,N/A,Place buy limit at $271.57,Use $16.72 trailing stop / 6.1%; initial invalidation below $261.56,Take profit at $411.04,13.93,Ready / near buy zone,74,SS=74; EP=22; SQ=15; RR=20; TS=10; AS=0; ER=7,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
